#eta     delta*   delta 
0.707107 0.113316 0.196431

0.710037 0.112716 0.195395

0.712967 0.112119 0.194361

0.715897 0.111525 0.19333

0.718827 0.110934 0.192302

0.721757 0.110345 0.191276

0.724687 0.109759 0.190253

0.727617 0.109176 0.189232

0.730547 0.108596 0.188214

0.733477 0.108018 0.187198

0.736407 0.107443 0.186185

0.739337 0.10687 0.185174

0.742267 0.1063 0.184166

0.745197 0.105733 0.18316

0.748127 0.105168 0.182156

0.751057 0.104606 0.181155

0.753987 0.104046 0.180156

0.756917 0.103489 0.179159

0.759847 0.102934 0.178164

0.762777 0.102382 0.177172

0.765707 0.101832 0.176181

0.768637 0.101285 0.175193

0.771567 0.10074 0.174207

0.774497 0.100197 0.173223

0.777427 0.0996571 0.172241

0.780357 0.0991193 0.171261

0.783287 0.0985838 0.170283

0.786217 0.0980506 0.169307

0.789147 0.0975196 0.168332

0.792077 0.096991 0.16736

0.795007 0.0964647 0.166389

0.797937 0.0959406 0.16542

0.800867 0.0954187 0.164453

0.803797 0.094899 0.163488

0.806727 0.0943815 0.162524

0.809657 0.0938662 0.161562

0.812587 0.0933531 0.160602

0.815517 0.0928421 0.159643

0.818447 0.0923332 0.158686

0.821377 0.0918265 0.15773

0.824307 0.0913219 0.156775

0.827237 0.0908193 0.155822

0.830167 0.0903188 0.154871

0.833097 0.0898204 0.153921

0.836027 0.0893239 0.152972

0.838957 0.0888296 0.152024

0.841887 0.0883372 0.151078

0.844817 0.0878468 0.150133

0.847747 0.0873584 0.149188

0.850677 0.0868719 0.148246

0.853607 0.0863874 0.147304

0.856537 0.0859048 0.146363

0.859467 0.0854242 0.145423

0.862397 0.0849454 0.144484

0.865327 0.0844685 0.143546

0.868257 0.0839935 0.142608

0.871187 0.0835204 0.141672

0.874117 0.0830491 0.140736

0.877047 0.0825797 0.139801

0.879977 0.0821121 0.138866

0.882907 0.0816462 0.137932

0.885837 0.0811822 0.136999

0.888767 0.08072 0.136066

0.891697 0.0802595 0.135133

0.894627 0.0798008 0.134201

0.897557 0.0793438 0.133269

0.900487 0.0788886 0.132337

0.903417 0.078435 0.131406

0.906347 0.0779832 0.130474

0.909277 0.0775331 0.129543

0.912207 0.0770847 0.128611

0.915137 0.0766379 0.127679

0.918067 0.0761928 0.126748

0.920997 0.0757493 0.125816

0.923927 0.0753074 0.124883

0.926857 0.0748672 0.12395

0.929787 0.0744286 0.123017

0.932717 0.0739916 0.122083

0.935647 0.0735562 0.121149

0.938577 0.0731223 0.120213

0.941507 0.0726901 0.119277

0.944437 0.0722593 0.11834

0.947367 0.0718302 0.117402

0.950297 0.0714025 0.116463

0.953227 0.0709764 0.115522

0.956157 0.0705518 0.11458

0.959087 0.0701286 0.113636

0.962017 0.069707 0.112691

0.964947 0.0692869 0.111744

0.967877 0.0688682 0.110796

0.970807 0.068451 0.109845

0.973737 0.0680352 0.108892

0.976667 0.0676208 0.107936

0.979597 0.0672079 0.106978

0.982527 0.0667964 0.106018

0.985457 0.0663864 0.105054

0.988387 0.0659777 0.104088

0.991317 0.0655704 0.103118

0.994247 0.0651645 0.102144

0.997177 0.0647599 0.101167
































































































































































































































































































































































































































































































































































































































































































































































































































