#eta     delta*   delta
 0.707107 0.0444285 0.0823782 

 0.710037 0.0441557 0.0818503 

 0.712967 0.0438844 0.0813245 

 0.715897 0.0436147 0.0808007 

 0.718827 0.0433466 0.080279 

 0.721757 0.0430799 0.0797594 

 0.724687 0.0428148 0.0792417 

 0.727617 0.0425512 0.0787261 

 0.730547 0.0422891 0.0782123 

 0.733477 0.0420285 0.0777005 

 0.736407 0.0417693 0.0771905 

 0.739337 0.0415115 0.0766825 

 0.742267 0.0412552 0.0761762 

 0.745197 0.0410003 0.0756717 

 0.748127 0.0407468 0.075169 

 0.751057 0.0404947 0.0746681 

 0.753987 0.0402439 0.0741689 

 0.756917 0.0399945 0.0736713 

 0.759847 0.0397465 0.0731754 

 0.762777 0.0394997 0.0726812 

 0.765707 0.0392543 0.0721885 

 0.768637 0.0390102 0.0716974 

 0.771567 0.0387674 0.0712079 

 0.774497 0.0385259 0.0707198 

 0.777427 0.0382856 0.0702333 

 0.780357 0.0380466 0.0697482 

 0.783287 0.0378088 0.0692646 

 0.786217 0.0375723 0.0687823 

 0.789147 0.037337 0.0683015 

 0.792077 0.0371028 0.0678219 

 0.795007 0.0368699 0.0673437 

 0.797937 0.0366382 0.0668668 

 0.800867 0.0364076 0.0663911 

 0.803797 0.0361782 0.0659166 

 0.806727 0.0359499 0.0654433 

 0.809657 0.0357228 0.0649712 

 0.812587 0.0354968 0.0645003 

 0.815517 0.0352719 0.0640304 

 0.818447 0.0350481 0.0635616 

 0.821377 0.0348255 0.0630938 

 0.824307 0.0346039 0.062627 

 0.827237 0.0343833 0.0621612 

 0.830167 0.0341639 0.0616964 

 0.833097 0.0339455 0.0612324 

 0.836027 0.0337281 0.0607694 

 0.838957 0.0335118 0.0603071 

 0.841887 0.0332965 0.0598457 

 0.844817 0.0330823 0.059385 

 0.847747 0.032869 0.0589251 

 0.850677 0.0326567 0.0584658 

 0.853607 0.0324455 0.0580072 

 0.856537 0.0322352 0.0575492 

 0.859467 0.0320258 0.0570918 

 0.862397 0.0318175 0.0566349 

 0.865327 0.0316101 0.0561786 

 0.868257 0.0314036 0.0557226 

 0.871187 0.0311981 0.0552671 

 0.874117 0.0309935 0.054812 

 0.877047 0.0307898 0.0543571 

 0.879977 0.030587 0.0539026 

 0.882907 0.0303852 0.0534482 

 0.885837 0.0301842 0.052994 

 0.888767 0.0299841 0.05254 

 0.891697 0.0297849 0.052086 

 0.894627 0.0295866 0.0516321 

 0.897557 0.0293891 0.0511781 

 0.900487 0.0291925 0.0507239 

 0.903417 0.0289968 0.0502697 

 0.906347 0.0288019 0.0498152 

 0.909277 0.0286078 0.0493604 

 0.912207 0.0284146 0.0489052 

 0.915137 0.0282221 0.0484496 

 0.918067 0.0280305 0.0479936 

 0.920997 0.0278397 0.0475369 

 0.923927 0.0276497 0.0470795 

 0.926857 0.0274605 0.0466214 

 0.929787 0.027272 0.0461625 

 0.932717 0.0270844 0.0457026 

 0.935647 0.0268975 0.0452416 

 0.938577 0.0267114 0.0447795 

 0.941507 0.0265261 0.0443162 

 0.944437 0.0263415 0.0438514 

 0.947367 0.0261576 0.0433852 

 0.950297 0.0259745 0.0429173 

 0.953227 0.0257921 0.0424476 

 0.956157 0.0256105 0.041976 

 0.959087 0.0254295 0.0415022 

 0.962017 0.0252493 0.0410262 

 0.964947 0.0250698 0.0405477 

 0.967877 0.024891 0.0400665 

 0.970807 0.0247129 0.0395824 

 0.973737 0.0245355 0.0390951 

 0.976667 0.0243588 0.0386044 

 0.979597 0.0241828 0.0381099 

 0.982527 0.0240074 0.0376114 

 0.985457 0.0238327 0.0371085 

 0.988387 0.0236587 0.0366008 

 0.991317 0.0234854 0.0360879 

 0.994247 0.0233127 0.0355692 

 0.997177 0.0231406 0.0350443 
































































































































































































































































































































































































































































































































































































































































































































































































































