#P_AB   P_AC     delta*    P_AB    P_AC     delta
 0.73275 0.751533 0.0444285 0.73275 0.795543 0.0823782 

 0.732943 0.751361 0.0443738 0.732943 0.795457 0.0822724 

 0.733136 0.751189 0.0443192 0.733136 0.795371 0.0821668 

 0.733329 0.751017 0.0442646 0.733329 0.795285 0.0820612 

 0.733522 0.750845 0.0442101 0.733522 0.795199 0.0819557 

 0.733714 0.750672 0.0441557 0.733714 0.795113 0.0818503 

 0.733907 0.7505 0.0441013 0.733907 0.795026 0.0817449 

 0.7341 0.750326 0.044047 0.7341 0.79494 0.0816397 

 0.734293 0.750153 0.0439927 0.734293 0.794853 0.0815345 

 0.734486 0.749979 0.0439385 0.734486 0.794766 0.0814294 

 0.734679 0.749805 0.0438844 0.734679 0.794679 0.0813245 

 0.734872 0.749631 0.0438304 0.734872 0.794592 0.0812195 

 0.735065 0.749457 0.0437763 0.735065 0.794505 0.0811147 

 0.735258 0.749282 0.0437224 0.735258 0.794417 0.08101 

 0.73545 0.749107 0.0436685 0.73545 0.79433 0.0809053 

 0.735643 0.748932 0.0436147 0.735643 0.794242 0.0808007 

 0.735836 0.748757 0.043561 0.735836 0.794155 0.0806962 

 0.736029 0.748581 0.0435073 0.736029 0.794067 0.0805918 

 0.736222 0.748405 0.0434536 0.736222 0.793979 0.0804875 

 0.736415 0.748228 0.0434001 0.736415 0.793891 0.0803832 

 0.736608 0.748052 0.0433466 0.736608 0.793802 0.080279 

 0.736801 0.747875 0.0432931 0.736801 0.793714 0.080175 

 0.736994 0.747698 0.0432397 0.736994 0.793625 0.0800709 

 0.737186 0.747521 0.0431864 0.737186 0.793537 0.079967 

 0.737379 0.747343 0.0431331 0.737379 0.793448 0.0798632 

 0.737572 0.747165 0.0430799 0.737572 0.793359 0.0797594 

 0.737765 0.746987 0.0430268 0.737765 0.79327 0.0796557 

 0.737958 0.746808 0.0429737 0.737958 0.79318 0.0795521 

 0.738151 0.74663 0.0429207 0.738151 0.793091 0.0794486 

 0.738344 0.746451 0.0428677 0.738344 0.793002 0.0793451 

 0.738537 0.746271 0.0428148 0.738537 0.792912 0.0792417 

 0.738729 0.746092 0.042762 0.738729 0.792822 0.0791385 

 0.738922 0.745912 0.0427092 0.738922 0.792732 0.0790352 

 0.739115 0.745732 0.0426565 0.739115 0.792642 0.0789321 

 0.739308 0.745551 0.0426038 0.739308 0.792552 0.078829 

 0.739501 0.745371 0.0425512 0.739501 0.792462 0.0787261 

 0.739694 0.74519 0.0424987 0.739694 0.792371 0.0786232 

 0.739887 0.745008 0.0424462 0.739887 0.792281 0.0785203 

 0.74008 0.744827 0.0423938 0.74008 0.79219 0.0784176 

 0.740273 0.744645 0.0423414 0.740273 0.792099 0.0783149 

 0.740465 0.744463 0.0422891 0.740465 0.792008 0.0782123 

 0.740658 0.744281 0.0422369 0.740658 0.791917 0.0781098 

 0.740851 0.744098 0.0421847 0.740851 0.791825 0.0780074 

 0.741044 0.743915 0.0421325 0.741044 0.791734 0.077905 

 0.741237 0.743732 0.0420805 0.741237 0.791642 0.0778027 

 0.74143 0.743548 0.0420285 0.74143 0.791551 0.0777005 

 0.741623 0.743365 0.0419765 0.741623 0.791459 0.0775984 

 0.741816 0.743181 0.0419246 0.741816 0.791367 0.0774963 

 0.742009 0.742996 0.0418728 0.742009 0.791274 0.0773943 

 0.742201 0.742812 0.041821 0.742201 0.791182 0.0772924 

 0.742394 0.742627 0.0417693 0.742394 0.79109 0.0771905 

 0.742587 0.742441 0.0417176 0.742587 0.790997 0.0770888 

 0.74278 0.742256 0.041666 0.74278 0.790904 0.0769871 

 0.742973 0.74207 0.0416144 0.742973 0.790811 0.0768855 

 0.743166 0.741884 0.041563 0.743166 0.790718 0.0767839 

 0.743359 0.741698 0.0415115 0.743359 0.790625 0.0766825 

 0.743552 0.741511 0.0414601 0.743552 0.790532 0.0765811 

 0.743745 0.741324 0.0414088 0.743745 0.790438 0.0764797 

 0.743937 0.741137 0.0413576 0.743937 0.790345 0.0763785 

 0.74413 0.740949 0.0413064 0.74413 0.790251 0.0762773 

 0.744323 0.740761 0.0412552 0.744323 0.790157 0.0761762 

 0.744516 0.740573 0.0412041 0.744516 0.790063 0.0760752 

 0.744709 0.740385 0.0411531 0.744709 0.789969 0.0759742 

 0.744902 0.740196 0.0411021 0.744902 0.789874 0.0758733 

 0.745095 0.740007 0.0410512 0.745095 0.78978 0.0757725 

 0.745288 0.739818 0.0410003 0.745288 0.789685 0.0756717 

 0.745481 0.739628 0.0409495 0.745481 0.78959 0.0755711 

 0.745673 0.739438 0.0408987 0.745673 0.789495 0.0754704 

 0.745866 0.739248 0.040848 0.745866 0.7894 0.0753699 

 0.746059 0.739057 0.0407974 0.746059 0.789305 0.0752694 

 0.746252 0.738867 0.0407468 0.746252 0.78921 0.075169 

 0.746445 0.738676 0.0406962 0.746445 0.789114 0.0750687 

 0.746638 0.738484 0.0406458 0.746638 0.789018 0.0749685 

 0.746831 0.738292 0.0405953 0.746831 0.788923 0.0748683 

 0.747024 0.7381 0.040545 0.747024 0.788827 0.0747681 

 0.747217 0.737908 0.0404947 0.747217 0.78873 0.0746681 

 0.747409 0.737715 0.0404444 0.747409 0.788634 0.0745681 

 0.747602 0.737522 0.0403942 0.747602 0.788538 0.0744682 

 0.747795 0.737329 0.040344 0.747795 0.788441 0.0743683 

 0.747988 0.737136 0.0402939 0.747988 0.788344 0.0742686 

 0.748181 0.736942 0.0402439 0.748181 0.788247 0.0741689 

 0.748374 0.736747 0.0401939 0.748374 0.78815 0.0740692 

 0.748567 0.736553 0.040144 0.748567 0.788053 0.0739696 

 0.74876 0.736358 0.0400941 0.74876 0.787955 0.0738701 

 0.748952 0.736163 0.0400443 0.748952 0.787858 0.0737707 

 0.749145 0.735968 0.0399945 0.749145 0.78776 0.0736713 

 0.749338 0.735772 0.0399448 0.749338 0.787662 0.073572 

 0.749531 0.735576 0.0398951 0.749531 0.787564 0.0734728 

 0.749724 0.735379 0.0398455 0.749724 0.787466 0.0733736 

 0.749917 0.735183 0.039796 0.749917 0.787368 0.0732745 

 0.75011 0.734986 0.0397465 0.75011 0.787269 0.0731754 

 0.750303 0.734788 0.039697 0.750303 0.787171 0.0730764 

 0.750496 0.734591 0.0396476 0.750496 0.787072 0.0729775 

 0.750688 0.734393 0.0395983 0.750688 0.786973 0.0728787 

 0.750881 0.734194 0.039549 0.750881 0.786874 0.0727799 

 0.751074 0.733996 0.0394997 0.751074 0.786774 0.0726812 

 0.751267 0.733797 0.0394505 0.751267 0.786675 0.0725825 

 0.75146 0.733598 0.0394014 0.75146 0.786575 0.0724839 

 0.751653 0.733398 0.0393523 0.751653 0.786475 0.0723854 

 0.751846 0.733198 0.0393033 0.751846 0.786375 0.0722869 

 0.752039 0.732998 0.0392543 0.752039 0.786275 0.0721885 

 0.752232 0.732797 0.0392054 0.752232 0.786175 0.0720902 

 0.752424 0.732597 0.0391565 0.752424 0.786075 0.0719919 

 0.752617 0.732395 0.0391077 0.752617 0.785974 0.0718937 

 0.75281 0.732194 0.0390589 0.75281 0.785873 0.0717955 

 0.753003 0.731992 0.0390102 0.753003 0.785772 0.0716974 

 0.753196 0.73179 0.0389616 0.753196 0.785671 0.0715994 

 0.753389 0.731587 0.0389129 0.753389 0.78557 0.0715014 

 0.753582 0.731384 0.0388644 0.753582 0.785469 0.0714035 

 0.753775 0.731181 0.0388159 0.753775 0.785367 0.0713057 

 0.753968 0.730978 0.0387674 0.753968 0.785265 0.0712079 

 0.75416 0.730774 0.038719 0.75416 0.785163 0.0711101 

 0.754353 0.73057 0.0386706 0.754353 0.785061 0.0710125 

 0.754546 0.730365 0.0386223 0.754546 0.784959 0.0709149 

 0.754739 0.73016 0.0385741 0.754739 0.784856 0.0708173 

 0.754932 0.729955 0.0385259 0.754932 0.784754 0.0707198 

 0.755125 0.72975 0.0384777 0.755125 0.784651 0.0706224 

 0.755318 0.729544 0.0384296 0.755318 0.784548 0.0705251 

 0.755511 0.729337 0.0383816 0.755511 0.784445 0.0704277 

 0.755704 0.729131 0.0383336 0.755704 0.784342 0.0703305 

 0.755896 0.728924 0.0382856 0.755896 0.784238 0.0702333 

 0.756089 0.728717 0.0382377 0.756089 0.784135 0.0701362 

 0.756282 0.728509 0.0381899 0.756282 0.784031 0.0700391 

 0.756475 0.728301 0.0381421 0.756475 0.783927 0.0699421 

 0.756668 0.728093 0.0380943 0.756668 0.783823 0.0698451 

 0.756861 0.727884 0.0380466 0.756861 0.783718 0.0697482 

 0.757054 0.727675 0.0379989 0.757054 0.783614 0.0696514 

 0.757247 0.727466 0.0379513 0.757247 0.783509 0.0695546 

 0.757439 0.727256 0.0379038 0.757439 0.783404 0.0694579 

 0.757632 0.727046 0.0378563 0.757632 0.783299 0.0693612 

 0.757825 0.726836 0.0378088 0.757825 0.783194 0.0692646 

 0.758018 0.726625 0.0377614 0.758018 0.783089 0.069168 

 0.758211 0.726414 0.0377141 0.758211 0.782983 0.0690715 

 0.758404 0.726203 0.0376667 0.758404 0.782878 0.0689751 

 0.758597 0.725991 0.0376195 0.758597 0.782772 0.0688787 

 0.75879 0.725779 0.0375723 0.75879 0.782666 0.0687823 

 0.758983 0.725566 0.0375251 0.758983 0.782559 0.068686 

 0.759175 0.725353 0.037478 0.759175 0.782453 0.0685898 

 0.759368 0.72514 0.0374309 0.759368 0.782346 0.0684936 

 0.759561 0.724926 0.0373839 0.759561 0.78224 0.0683975 

 0.759754 0.724712 0.037337 0.759754 0.782133 0.0683015 

 0.759947 0.724498 0.03729 0.759947 0.782025 0.0682054 

 0.76014 0.724283 0.0372432 0.76014 0.781918 0.0681095 

 0.760333 0.724068 0.0371963 0.760333 0.781811 0.0680136 

 0.760526 0.723853 0.0371496 0.760526 0.781703 0.0679177 

 0.760719 0.723637 0.0371028 0.760719 0.781595 0.0678219 

 0.760911 0.723421 0.0370562 0.760911 0.781487 0.0677262 

 0.761104 0.723205 0.0370095 0.761104 0.781379 0.0676305 

 0.761297 0.722988 0.0369629 0.761297 0.78127 0.0675348 

 0.76149 0.72277 0.0369164 0.76149 0.781162 0.0674392 

 0.761683 0.722553 0.0368699 0.761683 0.781053 0.0673437 

 0.761876 0.722335 0.0368235 0.761876 0.780944 0.0672482 

 0.762069 0.722116 0.0367771 0.762069 0.780835 0.0671528 

 0.762262 0.721898 0.0367307 0.762262 0.780725 0.0670574 

 0.762455 0.721679 0.0366844 0.762455 0.780616 0.066962 

 0.762647 0.721459 0.0366382 0.762647 0.780506 0.0668668 

 0.76284 0.721239 0.036592 0.76284 0.780396 0.0667715 

 0.763033 0.721019 0.0365458 0.763033 0.780286 0.0666763 

 0.763226 0.720798 0.0364997 0.763226 0.780175 0.0665812 

 0.763419 0.720577 0.0364536 0.763419 0.780065 0.0664861 

 0.763612 0.720356 0.0364076 0.763612 0.779954 0.0663911 

 0.763805 0.720134 0.0363616 0.763805 0.779843 0.0662961 

 0.763998 0.719912 0.0363157 0.763998 0.779732 0.0662011 

 0.764191 0.719689 0.0362698 0.764191 0.779621 0.0661062 

 0.764383 0.719466 0.036224 0.764383 0.779509 0.0660114 

 0.764576 0.719243 0.0361782 0.764576 0.779398 0.0659166 

 0.764769 0.719019 0.0361324 0.764769 0.779286 0.0658219 

 0.764962 0.718795 0.0360867 0.764962 0.779174 0.0657272 

 0.765155 0.71857 0.0360411 0.765155 0.779062 0.0656325 

 0.765348 0.718345 0.0359955 0.765348 0.778949 0.0655379 

 0.765541 0.71812 0.0359499 0.765541 0.778836 0.0654433 

 0.765734 0.717894 0.0359044 0.765734 0.778724 0.0653488 

 0.765927 0.717668 0.0358589 0.765927 0.77861 0.0652544 

 0.766119 0.717442 0.0358135 0.766119 0.778497 0.0651599 

 0.766312 0.717215 0.0357681 0.766312 0.778384 0.0650656 

 0.766505 0.716988 0.0357228 0.766505 0.77827 0.0649712 

 0.766698 0.71676 0.0356775 0.766698 0.778156 0.0648769 

 0.766891 0.716532 0.0356323 0.766891 0.778042 0.0647827 

 0.767084 0.716303 0.0355871 0.767084 0.777928 0.0646885 

 0.767277 0.716074 0.0355419 0.767277 0.777813 0.0645944 

 0.76747 0.715845 0.0354968 0.76747 0.777699 0.0645003 

 0.767662 0.715615 0.0354517 0.767662 0.777584 0.0644062 

 0.767855 0.715385 0.0354067 0.767855 0.777469 0.0643122 

 0.768048 0.715154 0.0353617 0.768048 0.777354 0.0642182 

 0.768241 0.714923 0.0353168 0.768241 0.777238 0.0641243 

 0.768434 0.714692 0.0352719 0.768434 0.777122 0.0640304 

 0.768627 0.71446 0.0352271 0.768627 0.777006 0.0639365 

 0.76882 0.714228 0.0351823 0.76882 0.77689 0.0638427 

 0.769013 0.713995 0.0351375 0.769013 0.776774 0.063749 

 0.769206 0.713762 0.0350928 0.769206 0.776657 0.0636553 

 0.769398 0.713529 0.0350481 0.769398 0.776541 0.0635616 

 0.769591 0.713295 0.0350035 0.769591 0.776424 0.0634679 

 0.769784 0.71306 0.0349589 0.769784 0.776307 0.0633743 

 0.769977 0.712826 0.0349144 0.769977 0.776189 0.0632808 

 0.77017 0.71259 0.0348699 0.77017 0.776072 0.0631873 

 0.770363 0.712355 0.0348255 0.770363 0.775954 0.0630938 

 0.770556 0.712119 0.0347811 0.770556 0.775836 0.0630004 

 0.770749 0.711882 0.0347367 0.770749 0.775717 0.062907 

 0.770942 0.711645 0.0346924 0.770942 0.775599 0.0628136 

 0.771134 0.711408 0.0346481 0.771134 0.77548 0.0627203 

 0.771327 0.71117 0.0346039 0.771327 0.775361 0.062627 

 0.77152 0.710932 0.0345597 0.77152 0.775242 0.0625338 

 0.771713 0.710693 0.0345155 0.771713 0.775123 0.0624406 

 0.771906 0.710454 0.0344714 0.771906 0.775003 0.0623474 

 0.772099 0.710214 0.0344274 0.772099 0.774884 0.0622543 

 0.772292 0.709974 0.0343833 0.772292 0.774764 0.0621612 

 0.772485 0.709734 0.0343394 0.772485 0.774643 0.0620682 

 0.772678 0.709493 0.0342954 0.772678 0.774523 0.0619752 

 0.77287 0.709252 0.0342515 0.77287 0.774402 0.0618822 

 0.773063 0.70901 0.0342077 0.773063 0.774281 0.0617893 

 0.773256 0.708768 0.0341639 0.773256 0.77416 0.0616964 

 0.773449 0.708525 0.0341201 0.773449 0.774039 0.0616035 

 0.773642 0.708282 0.0340764 0.773642 0.773917 0.0615107 

 0.773835 0.708038 0.0340327 0.773835 0.773795 0.0614179 

 0.774028 0.707794 0.0339891 0.774028 0.773673 0.0613252 

 0.774221 0.70755 0.0339455 0.774221 0.773551 0.0612324 

 0.774414 0.707305 0.0339019 0.774414 0.773429 0.0611398 

 0.774606 0.707059 0.0338584 0.774606 0.773306 0.0610471 

 0.774799 0.706813 0.033815 0.774799 0.773183 0.0609545 

 0.774992 0.706567 0.0337715 0.774992 0.77306 0.0608619 

 0.775185 0.70632 0.0337281 0.775185 0.772936 0.0607694 

 0.775378 0.706073 0.0336848 0.775378 0.772813 0.0606768 

 0.775571 0.705825 0.0336415 0.775571 0.772689 0.0605844 

 0.775764 0.705577 0.0335982 0.775764 0.772565 0.0604919 

 0.775957 0.705328 0.033555 0.775957 0.77244 0.0603995 

 0.77615 0.705079 0.0335118 0.77615 0.772316 0.0603071 

 0.776342 0.704829 0.0334687 0.776342 0.772191 0.0602148 

 0.776535 0.704579 0.0334256 0.776535 0.772066 0.0601224 

 0.776728 0.704328 0.0333825 0.776728 0.77194 0.0600302 

 0.776921 0.704077 0.0333395 0.776921 0.771815 0.0599379 

 0.777114 0.703826 0.0332965 0.777114 0.771689 0.0598457 

 0.777307 0.703573 0.0332536 0.777307 0.771563 0.0597535 

 0.7775 0.703321 0.0332107 0.7775 0.771437 0.0596613 

 0.777693 0.703068 0.0331679 0.777693 0.77131 0.0595692 

 0.777885 0.702814 0.033125 0.777885 0.771183 0.0594771 

 0.778078 0.70256 0.0330823 0.778078 0.771056 0.059385 

 0.778271 0.702306 0.0330395 0.778271 0.770929 0.059293 

 0.778464 0.702051 0.0329968 0.778464 0.770802 0.0592009 

 0.778657 0.701795 0.0329542 0.778657 0.770674 0.0591089 

 0.77885 0.701539 0.0329116 0.77885 0.770546 0.059017 

 0.779043 0.701282 0.032869 0.779043 0.770418 0.0589251 

 0.779236 0.701025 0.0328265 0.779236 0.770289 0.0588331 

 0.779429 0.700768 0.032784 0.779429 0.77016 0.0587413 

 0.779621 0.70051 0.0327415 0.779621 0.770031 0.0586494 

 0.779814 0.700251 0.0326991 0.779814 0.769902 0.0585576 

 0.780007 0.699992 0.0326567 0.780007 0.769772 0.0584658 

 0.7802 0.699732 0.0326144 0.7802 0.769642 0.058374 

 0.780393 0.699472 0.0325721 0.780393 0.769512 0.0582823 

 0.780586 0.699211 0.0325299 0.780586 0.769382 0.0581906 

 0.780779 0.69895 0.0324876 0.780779 0.769251 0.0580989 

 0.780972 0.698689 0.0324455 0.780972 0.769121 0.0580072 

 0.781165 0.698426 0.0324033 0.781165 0.76899 0.0579156 

 0.781357 0.698164 0.0323612 0.781357 0.768858 0.0578239 

 0.78155 0.6979 0.0323192 0.78155 0.768727 0.0577323 

 0.781743 0.697637 0.0322771 0.781743 0.768595 0.0576408 

 0.781936 0.697372 0.0322352 0.781936 0.768462 0.0575492 

 0.782129 0.697107 0.0321932 0.782129 0.76833 0.0574577 

 0.782322 0.696842 0.0321513 0.782322 0.768197 0.0573662 

 0.782515 0.696576 0.0321095 0.782515 0.768064 0.0572747 

 0.782708 0.696309 0.0320676 0.782708 0.767931 0.0571832 

 0.782901 0.696042 0.0320258 0.782901 0.767798 0.0570918 

 0.783093 0.695775 0.0319841 0.783093 0.767664 0.0570004 

 0.783286 0.695507 0.0319424 0.783286 0.76753 0.056909 

 0.783479 0.695238 0.0319007 0.783479 0.767395 0.0568176 

 0.783672 0.694969 0.0318591 0.783672 0.767261 0.0567263 

 0.783865 0.694699 0.0318175 0.783865 0.767126 0.0566349 

 0.784058 0.694428 0.0317759 0.784058 0.766991 0.0565436 

 0.784251 0.694158 0.0317344 0.784251 0.766855 0.0564523 

 0.784444 0.693886 0.0316929 0.784444 0.766719 0.056361 

 0.784637 0.693614 0.0316515 0.784637 0.766583 0.0562698 

 0.784829 0.693341 0.0316101 0.784829 0.766447 0.0561786 

 0.785022 0.693068 0.0315687 0.785022 0.76631 0.0560873 

 0.785215 0.692794 0.0315274 0.785215 0.766174 0.0559961 

 0.785408 0.69252 0.0314861 0.785408 0.766036 0.0559049 

 0.785601 0.692245 0.0314448 0.785601 0.765899 0.0558138 

 0.785794 0.69197 0.0314036 0.785794 0.765761 0.0557226 

 0.785987 0.691694 0.0313624 0.785987 0.765623 0.0556315 

 0.78618 0.691417 0.0313213 0.78618 0.765485 0.0555404 

 0.786373 0.69114 0.0312802 0.786373 0.765346 0.0554493 

 0.786565 0.690862 0.0312391 0.786565 0.765207 0.0553582 

 0.786758 0.690583 0.0311981 0.786758 0.765068 0.0552671 

 0.786951 0.690304 0.0311571 0.786951 0.764929 0.055176 

 0.787144 0.690025 0.0311161 0.787144 0.764789 0.055085 

 0.787337 0.689745 0.0310752 0.787337 0.764649 0.054994 

 0.78753 0.689464 0.0310343 0.78753 0.764508 0.054903 

