#eta     delta*   delta
0.707107 0.157234 0.26171 

0.710037 0.156469 0.260456 

0.712967 0.155706 0.259205 

0.715897 0.154947 0.257957 

0.718827 0.154191 0.25671 

0.721757 0.153438 0.255466 

0.724687 0.152688 0.254224 

0.727617 0.151941 0.252985 

0.730547 0.151197 0.251748 

0.733477 0.150456 0.250513 

0.736407 0.149717 0.24928 

0.739337 0.148982 0.248049 

0.742267 0.14825 0.246821 

0.745197 0.147521 0.245594 

0.748127 0.146794 0.24437 

0.751057 0.146071 0.243148 

0.753987 0.14535 0.241928 

0.756917 0.144632 0.24071 

0.759847 0.143917 0.239494 

0.762777 0.143204 0.238279 

0.765707 0.142495 0.237067 

0.768637 0.141788 0.235857 

0.771567 0.141084 0.234648 

0.774497 0.140383 0.233442 

0.777427 0.139684 0.232237 

0.780357 0.138988 0.231034 

0.783287 0.138295 0.229833 

0.786217 0.137604 0.228633 

0.789147 0.136916 0.227435 

0.792077 0.136231 0.226239 

0.795007 0.135548 0.225044 

0.797937 0.134867 0.223851 

0.800867 0.13419 0.22266 

0.803797 0.133515 0.22147 

0.806727 0.132842 0.220281 

0.809657 0.132172 0.219094 

0.812587 0.131504 0.217909 

0.815517 0.130839 0.216725 

0.818447 0.130177 0.215542 

0.821377 0.129516 0.21436 

0.824307 0.128859 0.21318 

0.827237 0.128203 0.212001 

0.830167 0.12755 0.210823 

0.833097 0.1269 0.209647 

0.836027 0.126251 0.208471 

0.838957 0.125606 0.207297 

0.841887 0.124962 0.206124 

0.844817 0.124321 0.204951 

0.847747 0.123682 0.20378 

0.850677 0.123045 0.20261 

0.853607 0.122411 0.20144 

0.856537 0.121779 0.200271 

0.859467 0.121149 0.199104 

0.862397 0.120522 0.197936 

0.865327 0.119896 0.19677 

0.868257 0.119273 0.195604 

0.871187 0.118652 0.194439 

0.874117 0.118033 0.193275 

0.877047 0.117417 0.192111 

0.879977 0.116802 0.190947 

0.882907 0.11619 0.189784 

0.885837 0.11558 0.188621 

0.888767 0.114972 0.187459 

0.891697 0.114366 0.186297 

0.894627 0.113762 0.185135 

0.897557 0.11316 0.183973 

0.900487 0.11256 0.182811 

0.903417 0.111962 0.18165 

0.906347 0.111367 0.180488 

0.909277 0.110773 0.179326 

0.912207 0.110181 0.178164 

0.915137 0.109592 0.177002 

0.918067 0.109004 0.175839 

0.920997 0.108418 0.174676 

0.923927 0.107834 0.173513 

0.926857 0.107253 0.172349 

0.929787 0.106673 0.171184 

0.932717 0.106095 0.170019 

0.935647 0.105519 0.168853 

0.938577 0.104944 0.167686 

0.941507 0.104372 0.166519 

0.944437 0.103802 0.16535 

0.947367 0.103233 0.16418 

0.950297 0.102666 0.163009 

0.953227 0.102101 0.161836 

0.956157 0.101538 0.160662 

0.959087 0.100977 0.159487 

0.962017 0.100418 0.15831 

0.964947 0.09986 0.157131 

0.967877 0.0993041 0.155951 

0.970807 0.09875 0.154768 

0.973737 0.0981977 0.153583 

0.976667 0.0976471 0.152396 

0.979597 0.0970982 0.151206 

0.982527 0.096551 0.150014 

0.985457 0.0960056 0.148819 

0.988387 0.0954619 0.147622 

0.991317 0.0949199 0.146421 

0.994247 0.0943795 0.145217 

0.997177 0.0938408 0.144009 
































































































































































































































































































































































































































































































































































































































































































































































































































