#P_AB   P_AC     delta*    P_AB    P_AC     delta
0.7046 0.739376 0.157234 0.7046 0.772582 0.26171 

0.70477 0.73925 0.157081 0.70477 0.772519 0.261459 

0.704939 0.739125 0.156928 0.704939 0.772457 0.261208 

0.705109 0.738999 0.156775 0.705109 0.772394 0.260958 

0.705278 0.738873 0.156622 0.705278 0.772331 0.260707 

0.705448 0.738747 0.156469 0.705448 0.772268 0.260456 

0.705617 0.738621 0.156316 0.705617 0.772205 0.260206 

0.705787 0.738494 0.156164 0.705787 0.772141 0.259956 

0.705956 0.738368 0.156011 0.705956 0.772078 0.259705 

0.706126 0.738241 0.155859 0.706126 0.772015 0.259455 

0.706296 0.738114 0.155706 0.706296 0.771951 0.259205 

0.706465 0.737987 0.155554 0.706465 0.771888 0.258955 

0.706635 0.737859 0.155402 0.706635 0.771824 0.258705 

0.706804 0.737732 0.155251 0.706804 0.77176 0.258456 

0.706974 0.737604 0.155099 0.706974 0.771696 0.258206 

0.707143 0.737476 0.154947 0.707143 0.771632 0.257957 

0.707313 0.737348 0.154796 0.707313 0.771568 0.257707 

0.707482 0.73722 0.154644 0.707482 0.771504 0.257458 

0.707652 0.737092 0.154493 0.707652 0.77144 0.257208 

0.707822 0.736963 0.154342 0.707822 0.771376 0.256959 

0.707991 0.736835 0.154191 0.707991 0.771311 0.25671 

0.708161 0.736706 0.15404 0.708161 0.771247 0.256461 

0.70833 0.736577 0.153889 0.70833 0.771183 0.256212 

0.7085 0.736447 0.153739 0.7085 0.771118 0.255963 

0.708669 0.736318 0.153588 0.708669 0.771053 0.255715 

0.708839 0.736188 0.153438 0.708839 0.770988 0.255466 

0.709009 0.736059 0.153288 0.709009 0.770924 0.255218 

0.709178 0.735929 0.153137 0.709178 0.770859 0.254969 

0.709348 0.735799 0.152987 0.709348 0.770794 0.254721 

0.709517 0.735668 0.152838 0.709517 0.770728 0.254472 

0.709687 0.735538 0.152688 0.709687 0.770663 0.254224 

0.709856 0.735407 0.152538 0.709856 0.770598 0.253976 

0.710026 0.735276 0.152389 0.710026 0.770532 0.253728 

0.710195 0.735145 0.152239 0.710195 0.770467 0.25348 

0.710365 0.735014 0.15209 0.710365 0.770401 0.253233 

0.710535 0.734883 0.151941 0.710535 0.770336 0.252985 

0.710704 0.734751 0.151792 0.710704 0.77027 0.252737 

0.710874 0.73462 0.151643 0.710874 0.770204 0.25249 

0.711043 0.734488 0.151494 0.711043 0.770138 0.252242 

0.711213 0.734356 0.151345 0.711213 0.770072 0.251995 

0.711382 0.734223 0.151197 0.711382 0.770006 0.251748 

0.711552 0.734091 0.151048 0.711552 0.76994 0.2515 

0.711721 0.733958 0.1509 0.711721 0.769873 0.251253 

0.711891 0.733826 0.150752 0.711891 0.769807 0.251006 

0.712061 0.733693 0.150604 0.712061 0.76974 0.250759 

0.71223 0.733559 0.150456 0.71223 0.769674 0.250513 

0.7124 0.733426 0.150308 0.7124 0.769607 0.250266 

0.712569 0.733293 0.15016 0.712569 0.76954 0.250019 

0.712739 0.733159 0.150012 0.712739 0.769474 0.249773 

0.712908 0.733025 0.149865 0.712908 0.769407 0.249526 

0.713078 0.732891 0.149717 0.713078 0.76934 0.24928 

0.713247 0.732757 0.14957 0.713247 0.769272 0.249034 

0.713417 0.732622 0.149423 0.713417 0.769205 0.248787 

0.713587 0.732487 0.149276 0.713587 0.769138 0.248541 

0.713756 0.732353 0.149129 0.713756 0.76907 0.248295 

0.713926 0.732218 0.148982 0.713926 0.769003 0.248049 

0.714095 0.732082 0.148836 0.714095 0.768935 0.247803 

0.714265 0.731947 0.148689 0.714265 0.768868 0.247558 

0.714434 0.731812 0.148543 0.714434 0.7688 0.247312 

0.714604 0.731676 0.148396 0.714604 0.768732 0.247066 

0.714773 0.73154 0.14825 0.714773 0.768664 0.246821 

0.714943 0.731404 0.148104 0.714943 0.768596 0.246575 

0.715113 0.731267 0.147958 0.715113 0.768528 0.24633 

0.715282 0.731131 0.147812 0.715282 0.76846 0.246085 

0.715452 0.730994 0.147666 0.715452 0.768391 0.24584 

0.715621 0.730857 0.147521 0.715621 0.768323 0.245594 

0.715791 0.73072 0.147375 0.715791 0.768254 0.245349 

0.71596 0.730583 0.14723 0.71596 0.768186 0.245104 

0.71613 0.730446 0.147084 0.71613 0.768117 0.24486 

0.7163 0.730308 0.146939 0.7163 0.768048 0.244615 

0.716469 0.73017 0.146794 0.716469 0.767979 0.24437 

0.716639 0.730032 0.146649 0.716639 0.76791 0.244126 

0.716808 0.729894 0.146504 0.716808 0.767841 0.243881 

0.716978 0.729755 0.14636 0.716978 0.767772 0.243637 

0.717147 0.729617 0.146215 0.717147 0.767703 0.243392 

0.717317 0.729478 0.146071 0.717317 0.767633 0.243148 

0.717486 0.729339 0.145926 0.717486 0.767564 0.242904 

0.717656 0.7292 0.145782 0.717656 0.767494 0.24266 

0.717826 0.729061 0.145638 0.717826 0.767424 0.242416 

0.717995 0.728921 0.145494 0.717995 0.767355 0.242172 

0.718165 0.728781 0.14535 0.718165 0.767285 0.241928 

0.718334 0.728641 0.145206 0.718334 0.767215 0.241684 

0.718504 0.728501 0.145062 0.718504 0.767145 0.24144 

0.718673 0.728361 0.144919 0.718673 0.767075 0.241197 

0.718843 0.72822 0.144775 0.718843 0.767004 0.240953 

0.719012 0.72808 0.144632 0.719012 0.766934 0.24071 

0.719182 0.727939 0.144489 0.719182 0.766864 0.240466 

0.719352 0.727798 0.144345 0.719352 0.766793 0.240223 

0.719521 0.727656 0.144202 0.719521 0.766722 0.23998 

0.719691 0.727515 0.14406 0.719691 0.766652 0.239737 

0.71986 0.727373 0.143917 0.71986 0.766581 0.239494 

0.72003 0.727231 0.143774 0.72003 0.76651 0.239251 

0.720199 0.727089 0.143631 0.720199 0.766439 0.239008 

0.720369 0.726947 0.143489 0.720369 0.766368 0.238765 

0.720538 0.726804 0.143347 0.720538 0.766296 0.238522 

0.720708 0.726662 0.143204 0.720708 0.766225 0.238279 

0.720878 0.726519 0.143062 0.720878 0.766154 0.238037 

0.721047 0.726376 0.14292 0.721047 0.766082 0.237794 

0.721217 0.726232 0.142778 0.721217 0.76601 0.237552 

0.721386 0.726089 0.142637 0.721386 0.765939 0.237309 

0.721556 0.725945 0.142495 0.721556 0.765867 0.237067 

0.721725 0.725801 0.142353 0.721725 0.765795 0.236825 

0.721895 0.725657 0.142212 0.721895 0.765723 0.236583 

0.722064 0.725513 0.14207 0.722064 0.765651 0.236341 

0.722234 0.725368 0.141929 0.722234 0.765578 0.236099 

0.722404 0.725224 0.141788 0.722404 0.765506 0.235857 

0.722573 0.725079 0.141647 0.722573 0.765433 0.235615 

0.722743 0.724934 0.141506 0.722743 0.765361 0.235373 

0.722912 0.724788 0.141365 0.722912 0.765288 0.235132 

0.723082 0.724643 0.141225 0.723082 0.765215 0.23489 

0.723251 0.724497 0.141084 0.723251 0.765143 0.234648 

0.723421 0.724351 0.140943 0.723421 0.76507 0.234407 

0.72359 0.724205 0.140803 0.72359 0.764997 0.234165 

0.72376 0.724058 0.140663 0.72376 0.764923 0.233924 

0.72393 0.723912 0.140523 0.72393 0.76485 0.233683 

0.724099 0.723765 0.140383 0.724099 0.764777 0.233442 

0.724269 0.723618 0.140243 0.724269 0.764703 0.233201 

0.724438 0.723471 0.140103 0.724438 0.76463 0.23296 

0.724608 0.723324 0.139963 0.724608 0.764556 0.232719 

0.724777 0.723176 0.139823 0.724777 0.764482 0.232478 

0.724947 0.723028 0.139684 0.724947 0.764408 0.232237 

0.725117 0.72288 0.139545 0.725117 0.764334 0.231996 

0.725286 0.722732 0.139405 0.725286 0.76426 0.231755 

0.725456 0.722584 0.139266 0.725456 0.764186 0.231515 

0.725625 0.722435 0.139127 0.725625 0.764112 0.231274 

0.725795 0.722286 0.138988 0.725795 0.764037 0.231034 

0.725964 0.722137 0.138849 0.725964 0.763963 0.230793 

0.726134 0.721988 0.13871 0.726134 0.763888 0.230553 

0.726303 0.721838 0.138572 0.726303 0.763813 0.230313 

0.726473 0.721688 0.138433 0.726473 0.763738 0.230073 

0.726643 0.721539 0.138295 0.726643 0.763663 0.229833 

0.726812 0.721388 0.138156 0.726812 0.763588 0.229592 

0.726982 0.721238 0.138018 0.726982 0.763513 0.229352 

0.727151 0.721087 0.13788 0.727151 0.763438 0.229113 

0.727321 0.720937 0.137742 0.727321 0.763363 0.228873 

0.72749 0.720786 0.137604 0.72749 0.763287 0.228633 

0.72766 0.720634 0.137466 0.72766 0.763211 0.228393 

0.727829 0.720483 0.137328 0.727829 0.763136 0.228154 

0.727999 0.720331 0.137191 0.727999 0.76306 0.227914 

0.728169 0.72018 0.137053 0.728169 0.762984 0.227674 

0.728338 0.720027 0.136916 0.728338 0.762908 0.227435 

0.728508 0.719875 0.136779 0.728508 0.762832 0.227196 

0.728677 0.719723 0.136641 0.728677 0.762755 0.226956 

0.728847 0.71957 0.136504 0.728847 0.762679 0.226717 

0.729016 0.719417 0.136367 0.729016 0.762603 0.226478 

0.729186 0.719264 0.136231 0.729186 0.762526 0.226239 

0.729355 0.71911 0.136094 0.729355 0.762449 0.226 

0.729525 0.718957 0.135957 0.729525 0.762373 0.225761 

0.729695 0.718803 0.135821 0.729695 0.762296 0.225522 

0.729864 0.718649 0.135684 0.729864 0.762219 0.225283 

0.730034 0.718495 0.135548 0.730034 0.762141 0.225044 

0.730203 0.71834 0.135411 0.730203 0.762064 0.224805 

0.730373 0.718185 0.135275 0.730373 0.761987 0.224567 

0.730542 0.71803 0.135139 0.730542 0.761909 0.224328 

0.730712 0.717875 0.135003 0.730712 0.761832 0.22409 

0.730881 0.71772 0.134867 0.730881 0.761754 0.223851 

0.731051 0.717564 0.134732 0.731051 0.761676 0.223613 

0.731221 0.717408 0.134596 0.731221 0.761598 0.223374 

0.73139 0.717252 0.134461 0.73139 0.76152 0.223136 

0.73156 0.717096 0.134325 0.73156 0.761442 0.222898 

0.731729 0.716939 0.13419 0.731729 0.761364 0.22266 

0.731899 0.716783 0.134055 0.731899 0.761285 0.222422 

0.732068 0.716626 0.133919 0.732068 0.761207 0.222183 

0.732238 0.716468 0.133784 0.732238 0.761128 0.221946 

0.732408 0.716311 0.133649 0.732408 0.76105 0.221708 

0.732577 0.716153 0.133515 0.732577 0.760971 0.22147 

0.732747 0.715995 0.13338 0.732747 0.760892 0.221232 

0.732916 0.715837 0.133245 0.732916 0.760813 0.220994 

0.733086 0.715679 0.133111 0.733086 0.760734 0.220756 

0.733255 0.71552 0.132976 0.733255 0.760654 0.220519 

0.733425 0.715361 0.132842 0.733425 0.760575 0.220281 

0.733594 0.715202 0.132708 0.733594 0.760495 0.220044 

0.733764 0.715043 0.132574 0.733764 0.760416 0.219806 

0.733934 0.714884 0.13244 0.733934 0.760336 0.219569 

0.734103 0.714724 0.132306 0.734103 0.760256 0.219332 

0.734273 0.714564 0.132172 0.734273 0.760176 0.219094 

0.734442 0.714404 0.132038 0.734442 0.760096 0.218857 

